city_code_LAMAS,address,building_number,lat,lng,flr_area
1200,חטיבת הצנחנים 13,702555651,31.9090749,34.9973024,1302
1200,פטדה 2,702555700,31.9032785,34.998617,1253.75
1200,עמק בית שאן 8,702555813,31.91066,35.0046469,2476.5
1200,נחל ארנון 31,702555815,31.8941891,35.0050278,1040.25
1200,עמק בית שאן 6,702555822,31.9105897,35.00486160000001,2476.5
1200,עמק בית שאן 30,702555831,31.9098762,35.0042124,1667.25
1200,עמק בית שאן 32,702555834,31.9110017,35.0024504,1667.25
1200,עמק בית שאן 50,702555842,31.9099308,35.0041114,639.5
1200,עמק בית שאן 44,702555852,31.9133151,35.0014779,622.25
1200,עמק בית שאן 42,702555861,31.9115246,35.0030868,542.75
1200,עמק בית שאן 40,702555870,31.9103012,35.00564000000001,569.25
1200,עמק בית שאן 38,702555881,31.9147484,34.9976908,623.5
1200,עמק בית שאן 36,702555890,31.9147484,34.9976908,670
1200,עמק בית שאן 34,702555899,31.9129417,35.0006848,713.5
1200,עמק בית שאן 19,702555908,31.9147484,34.9976908,960.75
1200,עמק בית שאן 21,702556119,31.9109131,35.0041865,953
1200,עמק בית שאן 23,702556131,31.9122267,35.0021204,949.25
1200,עמק בית שאן 25,702556143,31.9144115,34.9986033,894.75
1200,עמק בית שאן 27,702556149,31.9147484,34.9976908,980.75
1200,עמק בית שאן 28,702556158,31.9147484,34.9976908,922.25
1200,מעלה נמר 3,702556160,31.894683,35.00634,1391.25
1200,עמק בית שאן 26,702556163,31.9147484,34.9976908,944.75
1200,עמק בית שאן 24,702556171,31.9131779,35.0015375,886.75
1200,עמק בית שאן 22,702556175,31.9113824,35.0033249,934
1200,מעלה נמר 5,702556184,31.8946908,35.0060571,1251.75
1200,עמק בית שאן 20,702556186,31.909332,35.005818,915.25
1200,מעלה נמר 7,702556195,31.8946987,35.0057742,1052
1200,נחל שורק 36,702556365,31.8956857,35.0067182,1268
1200,נחל שורק 34,702556383,31.8960684,35.0088886,1222.5
1200,נחל שורק 32,702556392,31.8955494,35.0096603,1395.5
1200,נחל שורק 30,702556397,31.8944838,35.0105118,1255.75
1200,נחל שורק 28,702556403,31.8933458,35.0068341,1287
1200,מעלה נמר 4,702556509,31.89469859999999,35.0063406,1294.5
1200,מעלה נמר 6,702556518,31.8947064,35.0060577,1239.25
1200,מעלה נמר 8,702556527,31.8947143,35.0057748,1247.25
1200,עמק בית שאן 7,702556574,31.9101178,35.003919,826.5
1200,מגדל דוד 31,702556580,31.9009112,35.0130284,692.5
1200,עמק בית שאן 5,702556587,31.9099308,35.0041114,926.25
1200,מגדל דוד 35,702556593,31.9015365,35.0140261,620.5
1200,מגדל המנורה 15,702556713,31.9028258,34.9969134,1938.25
1200,נחל שורק 26,702556714,31.8933458,35.0068341,1337.75
1200,נחל שורק 24,702556715,31.8943153,35.0055726,1289.75
1200,מגדל המנורה 13,702556720,31.901405,34.9968868,2017
1200,נחל שורק 22,702556722,31.8964738,35.0080747,1415.75
1200,מגדל המנורה 11,702556728,31.9013218,34.9989227,1953
1200,מגדל המנורה 2,702556753,31.90224,34.998617,4238.25
1200,מגדל המנורה 14,702556761,31.9019016,34.9968918,4132.5
1200,מגדל המנורה 16,702556775,31.9028258,34.9969134,4000.25
1200,מגדל המנורה 3,702556786,31.9023035,34.9990569,1189.75
1200,נחל שורק 50,702556791,31.89465659999999,35.0103495,1838.5
1200,מגדל המנורה 5,702556792,31.902025,34.999122,2450
1200,מגדל המנורה 7,702556797,31.901747,34.999176,2450
1200,נחל שורק 48,702556804,31.8933458,35.0068341,1690
1200,מגדל המנורה 6,702556805,31.901502,34.998617,3951.5
1200,עמק בית שאן 9,702556912,31.9102867,35.0037047,852.75
1200,שני 35,702556913,31.90100159999999,34.9926725,1498.75
1200,מגדל דוד 33,702556915,31.9014936,35.01263,589.75
1200,עמק בית שאן 11,702556922,31.9103941,35.0035984,918
1200,מגדל דוד 29,702556924,31.9011431,35.0133298,653
1200,שני 33,702556925,31.9003858,34.995881,1794
1200,שני 31,702556931,31.89994309999999,34.9994371,1556.25
1200,מגדל דוד 27,702556933,31.9011431,35.0133298,752.25
1200,שני 29,702556937,31.9016631,34.9923906,1781.75
1200,מגדל דוד 13,702556941,31.901363,35.0124078,656.75
1200,שני 27,702556943,31.9013546,34.9938988,1603.75
1200,מגדל דוד 15,702556945,31.9015365,35.0140261,574.25
1200,שני 25,702556953,31.9010727,34.9954212,1620.75
1200,מגדל דוד 17,702556954,31.9015365,35.0140261,581.75
1200,מגדל דוד 19,702556958,31.9015365,35.0140261,580.75
1200,שני 9,702556961,31.900306,35.00023669999999,1639.5
1200,מגדל דוד 21,702556966,31.9011431,35.0133298,565.75
1200,שני 7,702556973,31.9004865,35.000634,1467.5
1200,מגדל דוד 39,702556974,31.9015365,35.0140261,696.5
1200,מגדל דוד 41,702556980,31.9011431,35.0133298,682
1200,עמק בית שאן 13,702556981,31.911704,35.00147949999999,821.5
1200,שני 5,702556983,31.9006761,35.0010103,1531.5
1200,מגדל דוד 43,702556986,31.9011431,35.0133298,737
1200,שני 3,702556989,31.900842,35.0014279,1479.5
1200,עמק בית שאן 15,702556990,31.9132259,35.0004696,871.5
1200,שני 39,702556995,31.90100159999999,34.9926725,1742
1200,שני 41,702557003,31.9000425,34.9992128,1836.5
1200,מגדל המנורה 8,702557013,31.9012055,34.99847159999999,4078.25
1200,נחל שורק 46,702557014,31.8933458,35.0068341,1731.75
1200,מגדל המנורה 10,702557020,31.9025374,34.998746,4128
1200,נחל שורק 44,702557021,31.8940975,35.0056058,1944.5
1200,נחל שורק 42,702557028,31.8962451,35.0075513,1287.5
1200,מגדל המנורה 4,702557035,31.90197689999999,34.9988206,3977.25
1200,נחל שורק 40,702557037,31.8945384,35.0106966,1005.5
1200,מגדל המנורה 43,702557039,31.9020755,34.9969152,2138.5
1200,נחל שורק 38,702557064,31.8941105,35.0059114,1154
1200,מגדל דוד 25,702557537,31.9011431,35.0133298,8312.75
1200,מגדל דוד 23,702557557,31.9011431,35.0133298,8507.75
1200,שני 20,702557558,31.9009088,35.0011244,4850.75
1200,שני 22,702557566,31.8998929,34.997704,4850.75
1200,שני 43,702557577,31.9002685,34.99643289999999,1669.25
1200,שני 45,702557584,31.90113299999999,34.9953697,1808.5
1200,מגדל דוד 45,702557603,31.9011431,35.0133298,1033.75
1200,שני 11,702557607,31.9002798,35.0000139,1492.25
1200,שני 13,702557911,31.9002405,34.9961059,1531.75
1200,שני 15,702557920,31.90100159999999,34.9926725,1482.75
1200,נחל צין 2,702557928,31.8953645,35.0159349,788.5
1200,שני 17,702557929,31.90100159999999,34.9926725,1527.25
1200,נחל צין 9,702557936,31.8948893,35.0168834,2252
1200,שני 47,702557937,31.901445,34.993764,1843.75
1200,שני 49,702557948,31.9016631,34.9923906,1831
1200,שני 19,702557986,31.90100159999999,34.9926725,440.5
1200,שני 21,702557999,31.90004849999999,34.9992514,1597.25
1200,יוסף 2,702558214,31.885905,35.0083785,1330
1200,מגדל עוז 4,702558228,31.8985853,35.0126042,1261.75
1200,מגדל עוז 6,702558238,31.8983475,35.0122613,1340
1200,מגדל עוז 8,702558250,31.8980725,35.0121954,1462.25
1200,מגדל עוז 10,702558260,31.8985643,35.0127908,2016.25
1200,מגדל עוז 12,702558267,31.8975029,35.0134157,2164.5
1200,מגדל עוז 14,702558278,31.8975029,35.0134157,1884.5
1200,מגדל עוז 16,702558288,31.8975029,35.0134157,1467.75
1200,מגדל עוז 18,702558297,31.8975029,35.0134157,1403
1200,מגדל עוז 20,702558307,31.8987527,35.01287380000001,1730.5
1200,עמק חרוד 2,702558320,31.9179375,35.0028363,911
1200,עמק חרוד 8,702558347,31.9184629,35.0032647,777.75
1200,עמק חרוד 20,702558396,31.9179375,35.0028363,791.5
1200,עמק חרוד 29,702558638,31.9186413,35.0058297,1518.25
1200,עמק חרוד 28,702558651,31.9186413,35.0058297,1510.25
1200,נחל צין 30,702558661,31.8954651,35.0160199,756.25
1200,נחל צין 28,702558668,31.8942788,35.0112343,778.5
1200,נחל צין 32,702558687,31.89459329999999,35.0158767,782.75
1200,נחל צין 34,702558693,31.8946427,35.0147873,801.25
1200,נחל צין 36,702558699,31.89398439999999,35.0113319,847.75
1200,נחל צין 38,702558708,31.89398439999999,35.0113319,947.25
1200,מגדל עוז 22,702558715,31.8973372,35.01365560000001,1723.75
1200,מגדל עוז 24,702558721,31.8975111,35.0139368,1830.5
1200,מגדל עוז 11,702558749,31.8975099,35.0134291,4976
1200,מגדל עוז 9,702558759,31.89744779999999,35.0129532,5027
1200,מגדל עוז 7,702558766,31.8975268,35.0125708,4932
1200,מגדל עוז 5,702558777,31.8980236,35.0123637,4778.75
1200,מגדל עוז 3,702558781,31.89825299999999,35.0124487,5000.25
1200,מגדל עוז 1,702558786,31.8986083,35.0127144,5244.25
1200,נחל צין 12,702558913,31.8945936,35.0159442,738
1200,נחל צין 14,702558925,31.8945461,35.014922,754.75
1200,עמק חרוד 46,702558926,31.9186413,35.0058297,1431
1200,נחל צין 16,702558935,31.89400329999999,35.0113359,801
1200,עמק חרוד 44,702558936,31.9186413,35.0058297,1285.25
1200,נחל צין 18,702558942,31.89398439999999,35.0113319,758.5
1200,נחל צין 20,702558949,31.8955798,35.015746,737
1200,עמק חרוד 48,702558952,31.9186413,35.0058297,1349.75
1200,נחל צין 22,702558962,31.894806,35.0148716,740.75
1200,נחל צין 24,702558969,31.8942687,35.0116743,838.25
1200,נחל צין 26,702558975,31.8942788,35.0112343,834.75
1200,נחל צין 10,702558984,31.8956343,35.0156917,1264.25
1200,נחל צין 8,702558999,31.89517609999999,35.0168369,1043.75
1200,נחל צין 6,702559007,31.8952512,35.0165241,416.5
