id,floors,stat_area
702569361,3,313
702569374,4,313
702569612,4,311
702569622,4,311
702569630,4,311
702569637,4,311
702569643,2,311
702569651,2,311
702569657,2,311
702569666,2,311
702569678,4,111
702569688,3,111
702569696,4,111
702569829,2,311
702570075,4,313
702570082,4,313
702570090,4,313
702570102,4,313
702570287,3,214
702570293,3,214
702570306,3,214
702570409,4,313
702570419,5,224
702570426,4,225
702570452,3,223
702570471,3,122
702570474,3,122
702570476,5,225
702570485,5,225
702570486,3,122
702570496,3,122
702570621,3,214
702570811,4,224
702570816,4,224
702570825,4,224
702570834,3,122
702570835,4,224
702570842,5,122
702570848,3,122
702570857,3,122
702570867,3,122
702570876,3,122
702570889,3,122
702570897,3,122
702570907,3,122
702570918,4,214
702570933,4,214
702570938,4,214
702570952,4,214
702570959,4,214
702570968,4,214
702570981,4,214
702570984,4,212
702570993,4,212
702570997,4,214
702571004,4,212
702571231,8,225
702571249,5,224
702571259,4,223
702571269,4,223
702571275,4,223
702571282,4,223
702571290,3,111
702571293,4,225
702571298,3,111
702571301,4,225
702571304,2,111
702571307,4,224
702571308,3,111
702571314,4,214
702571326,3,212
702571329,4,214
702571335,3,212
702571339,4,214
702571345,3,212
702571348,4,214
702571354,3,212
702571360,4,214
702571361,3,212
702571367,3,212
702571382,3,212
702571390,3,212
702571395,4,214
702571401,4,214
702571408,3,214
702571419,3,213
702571429,3,213
702571452,3,213
702571465,3,213
702571474,3,213
702571518,4,224
702571519,3,111
702571529,3,111
702571539,3,111
702571553,3,111
702571558,3,224
702571561,3,111
702571569,3,224
702571580,2,224
702571585,2,224
702571601,3,225
702571605,4,111
702571718,3,214
702571719,3,212
702571725,3,212
702571733,3,212
702571734,4,214
702571741,3,212
702571750,4,214
702571757,3,212
702571766,3,212
702571779,3,212
702571793,3,212
702571802,4,221
702571808,3,212
702571852,3,213
702571864,3,213
702571911,3,225
702571914,3,111
702571922,3,224
702571930,3,224
702571938,1,224
702571944,2,224
702571953,5,224
702571963,4,224
702571977,4,224
702572005,3,111
702572111,5,122
702572117,4,221
702572119,4,122
702572130,4,122
702572135,4,122
702572138,4,221
702572146,4,122
702572153,3,212
702572157,4,221
702572160,4,122
702572167,3,221
702572169,3,212
702572170,4,122
702572175,5,122
702572179,3,212
702572182,3,221
702572194,3,221
702572203,3,221
702572315,3,111
702572317,3,111
702572343,5,224
702572351,4,224
702572358,5,225
702572367,5,225
702572376,5,225
702572380,5,225
702572386,5,225
702572394,5,225
702572402,5,225
702572522,3,113
702572530,3,212
702572531,3,113
702572539,3,113
702572540,3,212
702572548,3,212
702572549,3,113
702572556,3,212
702572559,3,113
702572576,3,212
702572577,3,113
702572586,3,212
702572588,4,113
702572596,3,212
702572608,3,212
702572715,5,225
702572922,3,212
702572931,3,212
702572940,3,212
702572953,3,212
702572958,3,212
702572970,3,212
702572980,3,212
702572991,3,212
702573006,3,212
702573163,3,111
702573185,3,111
702573193,3,111
702573202,3,111
702573312,3,212
702573322,3,113
702573323,3,212
702573326,3,113
702573332,3,212
702573333,4,123
702573342,2,123
702573344,3,212
702573349,2,123
702573357,4,123
702573367,3,212
702573383,5,123
702573390,5,123
702573403,3,212
702573406,4,123
702573412,3,111
702573421,3,111
702573457,4,111
702573464,3,111
702573475,4,111
702573483,3,111
702573492,3,111
702573508,3,111
702573617,4,123
702573665,3,222
702573671,3,222
702573687,3,213
702573688,3,222
702573696,3,222
702573704,4,212
702573816,3,111
702573824,4,312
702573826,4,312
702573827,3,111
702573844,5,122
702573847,4,312
702573849,5,122
702573859,5,122
702573860,4,312
702573864,3,114
702573868,5,122
702573870,4,312
702573871,3,114
702573880,4,312
702573886,3,122
702573887,4,312
702573888,4,115
702573895,4,115
702573903,3,122
702573905,4,115
702574015,4,212
702574025,4,212
702574037,4,212
702574058,3,211
702574077,3,211
702574082,4,122
702574086,3,211
702574092,3,122
702574094,3,211
702574102,3,122
702574104,3,211
702574210,4,122
702574211,4,115
702574216,4,115
702574227,4,115
702574236,4,115
702574243,4,114
702574254,3,223
702574259,4,115
702574262,3,223
702574267,4,115
702574270,3,223
702574274,3,223
702574279,4,115
702574282,3,223
702574288,4,114
702574290,3,223
702574298,4,114
702574304,3,223
702574409,4,122
702574428,3,211
702574431,4,114
702574439,3,211
702574440,4,114
702574448,4,114
702574450,3,213
702574457,4,114
702574459,3,213
702574467,4,114
702574470,3,213
702574474,4,114
702574483,3,213
702574490,3,213
702574503,3,213
702574609,4,114
702574620,4,114
702574627,4,114
702574631,4,223
702574639,4,111
702574647,4,111
702574648,4,223
702574658,4,111
702574662,4,223
702574666,4,111
702574669,4,223
702574677,3,111
702574683,3,111
702574695,4,111
702574811,3,213
702574833,3,212
702574854,3,212
702574892,4,212
702574902,4,212
702575024,4,111
702575040,4,111
702575057,4,111
702575072,3,111
702575082,3,111
702575091,3,111
702575099,3,111
702575107,3,111
702575212,4,212
702575226,4,212
702575233,4,212
702575244,4,212
702575253,4,212
702575292,3,213
702575301,3,213
702575423,3,111
702575438,3,111
702575453,3,111
702575460,4,114
702575477,4,114
702575487,3,114
702575496,3,114
702575504,3,114
702575513,3,122
702575520,4,122
702575536,4,122
702575544,3,213
702575548,4,122
702575556,4,122
702575559,3,212
702575564,6,122
702575571,3,213
702575580,3,213
702575587,4,213
702575588,3,222
702575599,3,222
702575608,3,122
702575630,3,331
702575666,3,331
702575681,3,331
702575702,3,331
702575812,3,114
702575820,3,114
702575825,4,114
702575835,4,114
702575843,4,114
702575849,3,111
702575885,4,114
702575918,3,213
702575919,3,122
702575921,3,222
702575928,3,213
702575937,3,222
702575940,3,213
702575944,4,214
702575950,3,213
702575959,3,212
702575964,5,313
702575971,3,212
702575973,5,313
702575980,5,313
702575982,3,212
702575988,5,313
702575994,4,214
702575998,5,313
702576000,3,212
702576006,5,313
702576007,3,212
702576013,3,331
702576024,3,331
702576028,3,331
702576089,3,331
702576099,3,331
702576234,4,113
702576256,4,113
702576261,4,113
702576271,3,115
702576279,3,115
702576285,3,115
702576291,3,115
702576299,4,115
702576312,5,313
702576316,3,212
702576322,4,214
702576326,3,212
702576330,3,313
702576335,3,212
702576337,4,313
702576343,4,214
702576345,4,313
702576350,4,122
702576352,4,214
702576355,4,313
702576359,4,122
702576362,4,214
702576365,5,122
702576366,3,212
702576368,6,313
702576371,4,214
702576373,4,122
702576374,3,212
702576377,6,313
702576381,3,212
702576383,4,214
702576386,6,313
702576397,4,122
702576399,3,212
702576406,5,122
702576414,3,331
702576443,3,331
702576452,3,331
702576461,3,331
702576467,3,331
702576475,3,331
702576488,3,331
702576495,3,331
702576508,3,331
702576513,4,115
702576522,4,115
702576532,4,115
702576544,5,115
702576555,4,115
702576565,3,115
702576574,3,115
702576584,3,115
702576599,4,115
702576605,4,115
702576712,4,313
702576714,4,122
702576716,3,212
702576721,4,122
702576722,4,313
702576724,3,212
702576728,5,214
702576729,4,313
702576733,3,212
702576737,3,122
702576738,4,313
702576743,3,212
702576752,3,212
702576756,4,313
702576757,4,122
702576761,3,212
702576767,3,212
702576770,4,313
702576773,4,122
702576776,4,313
702576778,4,122
702576784,6,313
702576787,4,122
702576791,3,212
702576793,1,313
702576798,4,122
702576802,1,313
702576806,3,122
702576818,3,331
702576825,3,331
702576888,3,331
702576906,3,331
702576911,4,115
702576919,3,115
702576928,3,115
702576991,4,115
702576996,4,115
702577005,4,115
702577109,3,313
702577115,3,212
702577118,3,313
702577123,3,212
702577126,3,222
702577130,3,123
702577131,3,222
702577135,3,212
702577142,3,212
702577145,4,123
702577148,3,222
702577152,4,312
702577154,5,123
702577165,4,312
702577173,4,312
702577174,3,123
702577181,4,123
702577185,4,312
702577191,4,123
702577194,4,123
702577203,4,123
702577205,4,123
702577232,3,331
702577241,3,331
702577293,3,331
702577302,3,331
702577308,3,331
702577310,4,115
702577316,4,114
702577320,4,115
702577321,4,114
702577330,4,115
702577331,4,114
702577340,4,115
702577342,4,114
702577350,4,114
702577358,4,111
702577368,4,115
702577378,4,115
702577395,3,115
702577403,4,115
702577511,4,312
702577515,4,123
702577524,4,312
702577526,3,123
702577537,4,123
702577541,6,123
702577545,4,312
702577558,5,123
702577564,4,123
702577568,5,123
702577575,3,123
702577581,3,221
702577583,3,123
702577591,3,123
702577592,3,221
702577600,3,123
702577608,3,123
702577641,3,212
702577673,3,331
702577688,3,331
702577724,4,115
702577733,4,115
702577743,4,115
702577752,4,115
702577762,4,115
702577771,4,115
702577780,5,115
702577793,5,115
702577800,4,115
702577807,4,112
702577916,3,123
702577926,3,123
702577931,4,123
702577955,3,123
702577958,3,123
702577968,3,123
702578016,3,331
702578036,3,331
702578046,3,331
702578064,3,331
702578073,3,331
702578118,5,112
702578126,3,112
702578134,3,112
702578139,4,112
702578150,4,112
702578162,4,112
702578171,4,112
702578179,4,112
702578189,4,112
702578199,4,112
702578208,4,112
702578325,4,313
702578336,4,313
702578376,4,313
702578385,4,313
702578393,4,313
702578399,4,313
702578404,4,313
702578527,4,112
702578532,4,111
702578536,4,111
702578541,3,111
702578551,4,112
702578558,4,112
702578567,4,112
702578575,4,112
702578583,4,112
702578591,4,112
702578600,4,112
702578607,4,112
702578710,4,313
702578719,4,313
702578729,4,313
702578734,4,214
702578738,4,313
702578744,4,313
702578755,5,313
702578779,4,313
702578785,4,214
702578788,4,313
702578792,4,313
702578796,4,214
702578803,6,313
702578917,4,112
702578925,4,112
702578934,4,112
702578944,4,112
702578949,5,114
702578952,3,112
702578955,3,112
702578957,3,114
702578962,3,112
702578964,3,114
702578967,3,112
702578969,3,114
702578977,3,112
702578979,5,114
702578983,5,114
702578985,3,112
702578991,5,114
702578995,4,111
702578999,5,114
702579006,4,111
702579109,4,214
702579143,4,214
702579151,4,214
702579156,4,214
702579167,4,214
702579204,4,214
702579209,3,114
702579210,4,111
702579219,4,111
702579228,4,111
702579238,4,111
702579249,4,111
702579258,4,111
702579262,4,111
702579299,4,112
702579516,4,214
702579530,4,214
702579541,4,214
702579565,4,214
702579570,4,214
702579596,4,214
702579618,4,112
702579622,4,112
702579645,4,112
702579666,5,112
702579675,5,112
702579684,4,112
702579692,4,112
702579700,5,112
702579911,4,214
702579930,4,214
702579939,4,214
702579946,4,214
702579961,4,214
702579981,4,214
702579991,6,123
702579998,6,123
702580010,5,112
702580022,6,112
702580027,4,112
702580035,5,112
702580057,3,111
702580089,4,111
702580096,4,111
702580103,4,111
702580400,4,214
702580413,3,111
702580417,3,114
702580423,4,111
702580425,4,114
702580431,4,111
702580442,4,111
702580491,5,112
702580504,5,112
